mpg,cylinders,displacement,horsepower,weight,model year,origin
14,8,302,137,4042,73,1
15,8,318,150,3777,73,1
12,8,429,198,4952,73,1
13,8,400,150,4464,73,1
13,8,351,158,4363,73,1
14,8,318,150,4237,73,1
13,8,440,215,4735,73,1
12,8,455,225,4951,73,1
13,8,360,175,3821,73,1
18,6,225,105,3121,73,1
16,6,250,100,3278,73,1
18,6,232,100,2945,73,1
18,6,250,88,3021,73,1
23,6,198,95,2904,73,1
26,4,97,46,1950,73,2
11,8,400,150,4997,73,1
12,8,400,167,4906,73,1
13,8,360,170,4654,73,1
12,8,350,180,4499,73,1
18,6,232,100,2789,73,1
20,4,97,88,2279,73,3
21,4,140,72,2401,73,1
22,4,108,94,2379,73,3
18,3,70,90,2124,73,3
19,4,122,85,2310,73,1
21,6,155,107,2472,73,1
26,4,98,90,2265,73,2
15,8,350,145,4082,73,1
16,8,400,230,4278,73,1
29,4,68,49,1867,73,2
24,4,116,75,2158,73,2
20,4,114,91,2582,73,2
19,4,121,112,2868,73,2
15,8,318,150,3399,73,1
24,4,121,110,2660,73,2
20,6,156,122,2807,73,3
11,8,350,180,3664,73,1
20,6,198,95,3102,74,1
19,6,232,100,2901,74,1
15,6,250,100,3336,74,1
31,4,79,67,1950,74,3
26,4,122,80,2451,74,1
32,4,71,65,1836,74,3
25,4,140,75,2542,74,1
16,6,250,100,3781,74,1
16,6,258,110,3632,74,1
18,6,225,105,3613,74,1
16,8,302,140,4141,74,1
13,8,350,150,4699,74,1
14,8,318,150,4457,74,1
14,8,302,140,4638,74,1
14,8,304,150,4257,74,1
29,4,98,83,2219,74,2
26,4,79,67,1963,74,2
26,4,97,78,2300,74,2
31,4,76,52,1649,74,3
32,4,83,61,2003,74,3
28,4,90,75,2125,74,1
24,4,90,75,2108,74,2
26,4,116,75,2246,74,2
24,4,120,97,2489,74,3
26,4,108,93,2391,74,3
31,4,79,67,2000,74,2
19,6,225,95,3264,75,1
18,6,250,105,3459,75,1
15,6,250,72,3432,75,1
15,6,250,72,3158,75,1
16,8,400,170,4668,75,1
15,8,350,145,4440,75,1
16,8,318,150,4498,75,1
14,8,351,148,4657,75,1
17,6,231,110,3907,75,1
16,6,250,105,3897,75,1
15,6,258,110,3730,75,1
18,6,225,95,3785,75,1
21,6,231,110,3039,75,1
20,8,262,110,3221,75,1
13,8,302,129,3169,75,1
29,4,97,75,2171,75,3
23,4,140,83,2639,75,1
20,6,232,100,2914,75,1
23,4,140,78,2592,75,1
24,4,134,96,2702,75,3
25,4,90,71,2223,75,2
24,4,119,97,2545,75,3
18,6,171,97,2984,75,1
29,4,90,70,1937,75,2
19,6,232,90,3211,75,1
23,4,115,95,2694,75,2
23,4,120,88,2957,75,2
22,4,121,98,2945,75,2
25,4,121,115,2671,75,2
33,4,91,53,1795,75,3
28,4,107,86,2464,76,2
25,4,116,81,2220,76,2
25,4,140,92,2572,76,1
26,4,98,79,2255,76,1
27,4,101,83,2202,76,2
17.5,8,305,140,4215,76,1
16,8,318,150,4190,76,1
15.5,8,304,120,3962,76,1
14.5,8,351,152,4215,76,1
22,6,225,100,3233,76,1
22,6,250,105,3353,76,1
24,6,200,81,3012,76,1
22.5,6,232,90,3085,76,1
29,4,85,52,2035,76,1
24.5,4,98,60,2164,76,1
29,4,90,70,1937,76,2
33,4,91,53,1795,76,3
20,6,225,100,3651,76,1
18,6,250,78,3574,76,1
18.5,6,250,110,3645,76,1
17.5,6,258,95,3193,76,1
29.5,4,97,71,1825,76,2
32,4,85,70,1990,76,3
28,4,97,75,2155,76,3
26.5,4,140,72,2565,76,1
20,4,130,102,3150,76,2
13,8,318,150,3940,76,1
19,4,120,88,3270,76,2
19,6,156,108,2930,76,3
16.5,6,168,120,3820,76,2
16.5,8,350,180,4380,76,1
13,8,350,145,4055,76,1
13,8,302,130,3870,76,1
13,8,318,150,3755,76,1
31.5,4,98,68,2045,77,3
30,4,111,80,2155,77,1
36,4,79,58,1825,77,2
25.5,4,122,96,2300,77,1
33.5,4,85,70,1945,77,3
17.5,8,305,145,3880,77,1
17,8,260,110,4060,77,1
15.5,8,318,145,4140,77,1
15,8,302,130,4295,77,1
17.5,6,250,110,3520,77,1
20.5,6,231,105,3425,77,1
19,6,225,100,3630,77,1
18.5,6,250,98,3525,77,1
16,8,400,180,4220,77,1
15.5,8,350,170,4165,77,1
15.5,8,400,190,4325,77,1
16,8,351,149,4335,77,1
29,4,97,78,1940,77,2
24.5,4,151,88,2740,77,1
26,4,97,75,2265,77,3
25.5,4,140,89,2755,77,1
30.5,4,98,63,2051,77,1
33.5,4,98,83,2075,77,1
30,4,97,67,1985,77,3
30.5,4,97,78,2190,77,2
22,6,146,97,2815,77,3
21.5,4,121,110,2600,77,2
21.5,3,80,110,2720,77,3
43.1,4,90,48,1985,78,2
36.1,4,98,66,1800,78,1
32.8,4,78,52,1985,78,3
39.4,4,85,70,2070,78,3
36.1,4,91,60,1800,78,3
19.9,8,260,110,3365,78,1
19.4,8,318,140,3735,78,1
20.2,8,302,139,3570,78,1
19.2,6,231,105,3535,78,1
20.5,6,200,95,3155,78,1
20.2,6,200,85,2965,78,1
25.1,4,140,88,2720,78,1
20.5,6,225,100,3430,78,1
19.4,6,232,90,3210,78,1
20.6,6,231,105,3380,78,1
20.8,6,200,85,3070,78,1
18.6,6,225,110,3620,78,1
18.1,6,258,120,3410,78,1
19.2,8,305,145,3425,78,1
17.7,6,231,165,3445,78,1
18.1,8,302,139,3205,78,1
17.5,8,318,140,4080,78,1
30,4,98,68,2155,78,1
27.5,4,134,95,2560,78,3
27.2,4,119,97,2300,78,3
30.9,4,105,75,2230,78,1
21.1,4,134,95,2515,78,3
23.2,4,156,105,2745,78,1
23.8,4,151,85,2855,78,1
23.9,4,119,97,2405,78,3
20.3,5,131,103,2830,78,2
17,6,163,125,3140,78,2
21.6,4,121,115,2795,78,2
16.2,6,163,133,3410,78,2
31.5,4,89,71,1990,78,2
29.5,4,98,68,2135,78,3
21.5,6,231,115,3245,79,1
19.8,6,200,85,2990,79,1
22.3,4,140,88,2890,79,1
20.2,6,232,90,3265,79,1
20.6,6,225,110,3360,79,1
17,8,305,130,3840,79,1
17.6,8,302,129,3725,79,1
16.5,8,351,138,3955,79,1
18.2,8,318,135,3830,79,1
16.9,8,350,155,4360,79,1
15.5,8,351,142,4054,79,1
19.2,8,267,125,3605,79,1
18.5,8,360,150,3940,79,1
31.9,4,89,71,1925,79,2
34.1,4,86,65,1975,79,3
35.7,4,98,80,1915,79,1
27.4,4,121,80,2670,79,1
25.4,5,183,77,3530,79,2
23,8,350,125,3900,79,1
27.2,4,141,71,3190,79,2
23.9,8,260,90,3420,79,1
34.2,4,105,70,2200,79,1
34.5,4,105,70,2150,79,1
31.8,4,85,65,2020,79,3
37.3,4,91,69,2130,79,2
28.4,4,151,90,2670,79,1
28.8,6,173,115,2595,79,1
26.8,6,173,115,2700,79,1
33.5,4,151,90,2556,79,1
41.5,4,98,76,2144,80,2
38.1,4,89,60,1968,80,3
32.1,4,98,70,2120,80,1
37.2,4,86,65,2019,80,3
28,4,151,90,2678,80,1
26.4,4,140,88,2870,80,1
24.3,4,151,90,3003,80,1
19.1,6,225,90,3381,80,1
34.3,4,97,78,2188,80,2
29.8,4,134,90,2711,80,3
31.3,4,120,75,2542,80,3
37,4,119,92,2434,80,3
32.2,4,108,75,2265,80,3
46.6,4,86,65,2110,80,3
27.9,4,156,105,2800,80,1
40.8,4,85,65,2110,80,3
44.3,4,90,48,2085,80,2
43.4,4,90,48,2335,80,2
36.4,5,121,67,2950,80,2
30,4,146,67,3250,80,2
44.6,4,91,67,1850,80,3
33.8,4,97,67,2145,80,3
29.8,4,89,62,1845,80,2
32.7,6,168,132,2910,80,3
23.7,3,70,100,2420,80,3
35,4,122,88,2500,80,2
32.4,4,107,72,2290,80,3
27.2,4,135,84,2490,81,1
26.6,4,151,84,2635,81,1
25.8,4,156,92,2620,81,1
23.5,6,173,110,2725,81,1
30,4,135,84,2385,81,1
39.1,4,79,58,1755,81,3
39,4,86,64,1875,81,1
35.1,4,81,60,1760,81,3
32.3,4,97,67,2065,81,3
37,4,85,65,1975,81,3
37.7,4,89,62,2050,81,3
34.1,4,91,68,1985,81,3
34.7,4,105,63,2215,81,1
34.4,4,98,65,2045,81,1
29.9,4,98,65,2380,81,1
33,4,105,74,2190,81,2
33.7,4,107,75,2210,81,3
32.4,4,108,75,2350,81,3
32.9,4,119,100,2615,81,3
31.6,4,120,74,2635,81,3
28.1,4,141,80,3230,81,2
30.7,6,145,76,3160,81,2
25.4,6,168,116,2900,81,3
24.2,6,146,120,2930,81,3
22.4,6,231,110,3415,81,1
26.6,8,350,105,3725,81,1
20.2,6,200,88,3060,81,1
17.6,6,225,85,3465,81,1
28,4,112,88,2605,82,1
27,4,112,88,2640,82,1
34,4,112,88,2395,82,1
31,4,112,85,2575,82,1
29,4,135,84,2525,82,1
27,4,151,90,2735,82,1
24,4,140,92,2865,82,1
36,4,105,74,1980,82,2
37,4,91,68,2025,82,3
31,4,91,68,1970,82,3
38,4,105,63,2125,82,1
36,4,98,70,2125,82,1
36,4,120,88,2160,82,3
36,4,107,75,2205,82,3
34,4,108,70,2245,82,3
38,4,91,67,1965,82,3
32,4,91,67,1965,82,3
38,4,91,67,1995,82,3
25,6,181,110,2945,82,1
38,6,262,85,3015,82,1
26,4,156,92,2585,82,1
22,6,232,112,2835,82,1
32,4,144,96,2665,82,3
36,4,135,84,2370,82,1
27,4,151,90,2950,82,1
27,4,140,86,2790,82,1
44,4,97,52,2130,82,2
32,4,135,84,2295,82,1
28,4,120,79,2625,82,1
31,4,119,82,2720,82,1
18.91,1,12.0,123.0,12345,70,1
26.03,10,123.0,123.0,1234,70,1
17.91,8,80.0,120.0,4000,60,2
27.61,4,100.0,200.0,4000,80,3
32.89,2,12.0,123.0,1234,90,3
23.39,7,400.0,200.0,2000,81,2
22.07,7,430.0,250.0,3000,81,3
